whichPerspective,origin,n
GenomePerspective,MDA-MB-231_G1_A4_seed,21
GenomePerspective,MDA-MB-231_G2_A4_seed,21
GenomePerspective,MDA-MB-231_O1_A23-K_harvest,21
GenomePerspective,MDA-MB-231_O2_A23-K_harvest,21
GenomePerspective,MDA-MB-231_P_A2_harvest,21
GenomePerspective,MDA-MB-231_RPMI_A12_VT2_seed,21
GenomePerspective,SNU-668_C_A4_seed,21
GenomePerspective,SNU-668_G1_A10_seed,21
GenomePerspective,SNU-668_G2_A10_seed,21
GenomePerspective,SNU-668_K2_A34_seedT1,21
GenomePerspective,SNU-668_O1_A3_exp_seedT4,21
GenomePerspective,SNU-668_O2_A3_exp_seedT4,21
GenomePerspective,SNU-668_P0_A11K_seed,21
GenomePerspective,SNU-668_P1_A18K_seed,21
GenomePerspective,SNU-668_P2_A18k_seed,21
GenomePerspective,SNU-668_r1_A55_seedT1,21
GenomePerspective,SNU-668_r3_A55_seedT1,21
GenomePerspective,SNU-668_RevC_A27_seed,21
GenomePerspective,SNU-668_RevC_A3_seed,21
GenomePerspective,SNU-668_RevG_A10_seed,21
GenomePerspective,SNU-668_RevG_A3_seed,21
GenomePerspective,SUM-159_NLS_2N_MRCA_harvest,21
GenomePerspective,SUM-159_NLS_2N_O1_A19_seed,21
GenomePerspective,SUM-159_NLS_2N_O2_A19_seed,21
GenomePerspective,SUM-159_NLS_4N_O1_A17_seedT1,21
GenomePerspective,SUM-159_NLS_4N_O2_A17_seedT1,21
GenomePerspective,SUM159_NLS_2N_O1_A7K_harvest,20
GenomePerspective,SUM159_NLS_4N_O2_A7K_harvest,19
GenomePerspective,SUM-159_NLS_4N_A5M_K_harvest,17
GenomePerspective,SUM159_NLS_2N_O2_A7K_harvest,16
GenomePerspective,SNU-668_MRCA_harvest,15
GenomePerspective,HGC-27_MRCA_harvest,14
GenomePerspective,MDA-MB-231_MRCA_harvest,13
GenomePerspective,SNU-668_C_A24_seed,13
GenomePerspective,SUM-159_NLS_2N_A7M_K_harvest,13
GenomePerspective,SUM-159_NLS_4N_MRCA_harvest,13
GenomePerspective,SUM159_NLS_4N_O1_A7K_harvest,13
GenomePerspective,SNU-668_G2_A4_seed,11
GenomePerspective,HGC-27_RevC_A45_seed,10
GenomePerspective,SNU-668_G1_A4_seed,10
GenomePerspective,LGG174T4,7
GenomePerspective,LGG174T7,7
GenomePerspective,HGC-27_RevG2_A7-F_seed,6
GenomePerspective,LGG173T1,6
GenomePerspective,LGG173T3,6
GenomePerspective,LGG173T4,6
GenomePerspective,LGG174T5,6
GenomePerspective,LGG174T6,6
TranscriptomePerspective,SNU-16,6
GenomePerspective,HGC-27_RevG_A9-F_seed,5
GenomePerspective,LGG172T1,5
GenomePerspective,LGG172T3,5
GenomePerspective,LGG173T6,5
GenomePerspective,LGG174T2,5
GenomePerspective,LGG174T3,5
GenomePerspective,LGG174T8,5
GenomePerspective,LGG174T9,5
GenomePerspective,LGG175T4,5
GenomePerspective,LGG6T2,5
GenomePerspective,P06270_19493_mp,5
GenomePerspective,P06270_19494_mp,5
GenomePerspective,P06270_19495_mp,5
GenomePerspective,SNU-668_K1_A34_seedT1,5
GenomePerspective,SNU-668_K3_A34_seedT1,5
GenomePerspective,LGG172T2,4
GenomePerspective,LGG172T4,4
GenomePerspective,LGG172T5,4
GenomePerspective,LGG173T2,4
GenomePerspective,LGG173T5,4
GenomePerspective,LGG174T1,4
GenomePerspective,LGG175T2,4
GenomePerspective,LGG175T3,4
GenomePerspective,LGG175T5,4
GenomePerspective,LGG1T2,4
GenomePerspective,LGG270T2,4
GenomePerspective,LGG4T2,4
GenomePerspective,LGG5T1,4
GenomePerspective,LGG5T2,4
GenomePerspective,LGG5T3,4
GenomePerspective,LGG6T1,4
GenomePerspective,LGG7T2,4
GenomePerspective,P06270_19492_mp,4
GenomePerspective,TCGA-06-0171-01A-02D-A921,4
GenomePerspective,TCGA-06-0171-02A-11D-A921,4
GenomePerspective,LGG175T1,3
GenomePerspective,LGG1T1,3
GenomePerspective,LGG239T1,3
GenomePerspective,LGG239T2,3
GenomePerspective,LGG270T3,3
GenomePerspective,LGG2T4,3
GenomePerspective,LGG3T1,3
GenomePerspective,LGG4T1,3
GenomePerspective,LGG7T1,3
GenomePerspective,P06269_19488_mp,3
GenomePerspective,P06269_19489_mp,3
GenomePerspective,P06269_19490_nt,3
GenomePerspective,P06269_19491_mr,3
GenomePerspective,TCGA-06-0190-01A-01D-1491,3
GenomePerspective,TCGA-06-0190-02A-01D-2280,3
GenomePerspective,TCGA-06-0210-01A-01D-1491,3
GenomePerspective,TCGA-06-0210-02A-01D-2280,3
GenomePerspective,LGG175T6,2
GenomePerspective,LGG202T1,2
GenomePerspective,LGG202T2,2
GenomePerspective,LGG270T1,2
GenomePerspective,LGG2T1,2
GenomePerspective,LGG2T2,2
GenomePerspective,LGG2T3,2
GenomePerspective,LGG3T2,2
GenomePerspective,TCGA-06-0125-01A-01D-1490,2
GenomePerspective,TCGA-06-0125-02A-11D-2280,2
