"analysis_span_id","episode_id","path_position","seeding_date","passage_num","n_observations","media_id","protocol_id","recorded_owner","count_processing_state","seeding_selected_count","seeding_corrected_raw_ratio","episode_duration_days","incoming_harvest_to_seed_days","incoming_terminal_observation_weekday","duration_bin","is_branch_point","is_multiparent","episode_child_count","episode_comments","seeding_weekday","observation_day_signature"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A27_seed",29,"2025-06-11",37,2,82,"ltee_resource_deprivation","vural","corrected_differs_from_original",837707,0.557863633881492,1.96446759259259,2.23538194444444,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A28_seed",30,"2025-06-16",38,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",643876,0.907378804960541,3.95638888888889,2.92234953703704,"Friday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Monday","0,2,4"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A29_seed",31,"2025-06-20",39,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",2112091,0.968996654536379,3.00645833333333,0.0610069444444444,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A30_seed",32,"2025-06-26",40,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",419967,0.330233871132618,3.92659722222222,3.02650462962963,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Thursday","0,1,4"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A31_seed",33,"2025-07-02",41,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",474552,0.455614825397191,3.00489583333333,2.00184027777778,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A32_seed",34,"2025-07-07",42,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",428879,0.929952036497363,4.00619212962963,2.00172453703704,"Saturday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Monday","0,2,4"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A33_seed",35,"2025-07-14",43,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",701802,0.954545640018443,3.92346064814815,3.0019212962963,"Friday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Monday","0,2,4"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A34_seed",36,"2025-07-18",44,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",505743,0.851781987951097,2.87952546296296,0.210196759259259,"Friday","≤1 day",FALSE,FALSE,1,"; LTEE","Friday","0,3"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A35_seed",37,"2025-07-23",45,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",379864,0.437179047483134,5.11350694444444,2.00186342592593,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2,5"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A36_seed",38,"2025-07-30",46,3,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",641648,0.484440696316306,5.10581018518519,1.89418981481481,"Monday","1 day–1 week",FALSE,FALSE,1,"; LTEE","Wednesday","0,2,5"
"MDAMB231_promoted_39_episodes_ignore_media","MDA-MB-231_C_A37_seed",39,"2025-08-06",47,2,82,"ltee_resource_deprivation","jackson","corrected_differs_from_original",686207,0.457652563748578,2.12210648148148,1.87789351851852,"Monday","1 day–1 week",FALSE,FALSE,0,"; LTEE","Wednesday","0,2"
