"arm","episode_id","path_position","episode_depth","passage_num","seeding_media_id","fit_status","r_per_day","r_lower_95","r_upper_95","K","K_lower_95","K_upper_95","N_init"
"C","MDA-MB-231_C_A13_seed",15,19,23,82,"converged",1.26013548538885,1.06360192624834,1.45666904452936,11532552.2579779,9859715.11366209,13489209.3787477,408053.965416052
"C","MDA-MB-231_C_A14_seed",16,20,24,82,"converged",1.22260099331683,1.0313375004794,1.41386448615426,11809123.304859,10047121.8816862,13880133.5219752,393353.91754257
"C","MDA-MB-231_C_A15_seed",17,21,25,82,"converged",1.2156676158204,1.00855500456705,1.42278022707374,12111874.6466049,10253296.8522932,14307350.0717246,731230.358622853
"C","MDA-MB-231_C_A16_seed",18,22,26,82,"converged",1.01483528216786,0.859228696576089,1.17044186775962,12371151.9561298,10426494.1836574,14678510.1517189,218850.039945862
"C","MDA-MB-231_C_A17_seed",19,23,27,82,"converged",1.18636009452127,1.00829505525664,1.36442513378589,12605353.1035972,10584141.2947217,15012547.7770794,424047.728785322
"C","MDA-MB-231_C_A18_seed",20,24,28,82,"converged",1.23810907687675,1.04570784441294,1.43051030934057,12809088.7053232,10728273.8940772,15293490.3676741,488167.928030133
"C","MDA-MB-231_C_A19_seed",21,25,29,82,"converged",1.20605980584229,1.02356201467632,1.38855759700827,13003548.818747,10884016.5721942,15535834.6580916,364370.570897966
"C","MDA-MB-231_C_A20_seed",22,26,30,82,"converged",1.22871917650655,1.03266799979954,1.42477035321357,13227011.6469308,11072175.3330169,15801216.2782806,413333.00740858
"C","MDA-MB-231_C_A21_seed",23,27,31,82,"converged",1.35085668430763,1.11382615483077,1.58788721378448,13487468.9376988,11208693.2343947,16229529.5750605,1094875.97877616
"C","MDA-MB-231_C_A22_seed",24,28,32,82,"converged",1.37762570990981,1.13051481977222,1.62473660004741,13702703.3278952,11328565.5407785,16574391.33105,511010.135395673
"C","MDA-MB-231_C_A23_seed",25,29,33,82,"converged",1.40002865954122,1.14551371526013,1.65454360382232,13927974.3957773,11451442.2243421,16940090.773638,1195846.54355955
"C","MDA-MB-231_C_A24_seed",26,30,34,82,"converged",1.40585754082732,1.16974229606397,1.64197278559066,14152463.2133186,11578331.711634,17298883.8109623,457020.645653417
"C","MDA-MB-231_C_A25_seed",27,31,35,82,"converged",1.29751562565873,1.0908483103556,1.50418294096185,14303344.5356033,11670455.6250509,17530220.8822956,646111.95803956
"C","MDA-MB-231_C_A26_seed",28,32,36,82,"converged",1.28037064448721,1.09022116860871,1.47052012036572,14488220.3545862,11793731.6594324,17798313.1297688,348390.859184818
"C","MDA-MB-231_C_A27_seed",29,33,37,82,"converged",1.25613030030325,1.04053102419886,1.47172957640765,14681624.3844387,11930375.9039728,18067334.7009936,966381.721775238
"C","MDA-MB-231_C_A28_seed",30,34,38,82,"converged",1.03799441251423,0.853573177345345,1.22241564768312,14803241.7356413,12051840.9767851,18182779.4032416,508052.126844907
"C","MDA-MB-231_C_A29_seed",31,35,39,82,"converged",1.11837492836168,0.88388265825561,1.35286719846776,14867706.8126255,12154099.6271761,18187172.4477175,2192246.5222022
"C","MDA-MB-231_C_A30_seed",32,36,40,82,"converged",1.16831366925981,0.948686867595075,1.38794047092455,14891345.9488379,12195697.2833015,18182821.2866185,448432.109073715
"C","MDA-MB-231_C_A31_seed",33,37,41,82,"converged",1.15341640110871,0.948628505751171,1.35820429646625,14888090.0289288,12200999.9402152,18166972.0347185,534537.378652762
"C","MDA-MB-231_C_A32_seed",34,38,42,82,"converged",0.899057961021863,0.749239243521162,1.04887667852256,14796613.8225015,12173163.0111241,17985447.2015342,387801.439514233
"C","MDA-MB-231_C_A33_seed",35,39,43,82,"converged",0.859604936808313,0.690779694146285,1.02843017947034,14732563.0496312,12158760.8371226,17851195.2754821,584196.436029008
"C","MDA-MB-231_C_A34_seed",36,40,44,82,"converged",1.09097146103657,0.918274727974735,1.2636681940984,14676128.1296639,12146118.7914714,17733132.7460382,539763.417713524
"C","MDA-MB-231_C_A35_seed",37,41,45,82,"converged",1.21622999862704,1.02031016343278,1.41214983382129,14592809.282248,12119715.5330786,17570551.2366898,408485.349866907
"C","MDA-MB-231_C_A36_seed",38,42,46,82,"converged",1.25812707322108,1.04889465164987,1.46735949479229,14542397.2802243,12024528.9118741,17587493.0490657,633027.479554407
"C","MDA-MB-231_C_A37_seed",39,43,47,82,"converged",1.35885200117251,1.09441324289338,1.62329075945165,14574824.7709767,11884728.5850832,17873821.4830834,745743.794136008
"G1","MDA-MB-231_G1_A1_seed",1,7,11,83,"diagnostic_warning",0.910780963422221,0.719642712786811,1.10191921405763,7342100.33179733,3370166.33978679,15995185.9484742,1581904.44995434
"G1","MDA-MB-231_G1_A2_seed",2,8,12,86,"diagnostic_warning",0.910780409962449,0.719650329841678,1.10191049008322,3669963.41902765,3176121.06074262,4240591.35008284,836795.443469454
"G1","MDA-MB-231_G1_A3_seed",3,9,13,86,"diagnostic_warning",0.910779643332464,0.719659312313782,1.10189997435115,4685375.74841705,3305628.2372858,6641020.80694946,467036.777081542
"G1","MDA-MB-231_G1_A4_seed",4,10,14,86,"diagnostic_warning",0.910778980697835,0.719665992026472,1.1018919693692,3709302.49440808,3225564.82637981,4265586.25717166,489442.017033847
"G1","MDA-MB-231_G1_A5_seed",5,11,15,86,"diagnostic_warning",0.910778055122254,0.719673106327527,1.10188300391698,3676327.66278423,2735537.45588313,4940668.99178658,635720.05874446
"G1","MDA-MB-231_G1_A6_seed",6,12,16,86,"diagnostic_warning",0.91077731438337,0.719677581162347,1.10187704760439,5920780.48109173,3566858.50270392,9828155.91891358,387413.27224311
"G1","MDA-MB-231_G1_A7_seed",7,13,17,86,"diagnostic_warning",0.910776568645143,0.719680545181314,1.10187259210897,6776812.55316323,4109720.75865813,11174771.006998,491572.009384301
"G1","MDA-MB-231_G1_A8_seed",8,14,18,86,"diagnostic_warning",0.910775650052258,0.719682306757659,1.10186899334686,7139036.95415594,4236146.84050666,12031180.8234458,464591.406384146
"G1","MDA-MB-231_G1_A9_seed",9,15,19,86,"diagnostic_warning",0.91077481414063,0.719682096757669,1.10186753152359,7228745.9856046,4265442.04590309,12250727.5827566,506089.681826921
"G1","MDA-MB-231_G1_A10_seed",10,16,20,88,"diagnostic_warning",0.9107736096581,0.71967887888219,1.10186834043401,3814579.6495807,2923557.04678163,4977162.29584559,1135175.6138098
"G1","MDA-MB-231_G1_A11_seed",11,17,21,88,"diagnostic_warning",0.910772519338809,0.719673196467374,1.10187184221024,1814538.86334039,1403836.17987399,2345395.66209796,529205.373659607
"G1","MDA-MB-231_G1_A12_seed",12,18,22,88,"diagnostic_warning",0.910771562021868,0.719666027156027,1.10187709688771,3378715.52263563,2276802.9166122,5013924.78883729,391912.337924306
"G1","MDA-MB-231_G1_A13_seed",13,19,23,88,"diagnostic_warning",0.910771024961421,0.719660627724713,1.10188142219813,3186087.48653426,2216962.08444059,4578857.5019368,260482.595688331
