"arm","analysis_span_id","path_position","episode_depth","passage_num","episode_id","seeding_date","last_harvest_date","seeding_media_id","seeding_media_label","media_transition_from_previous","source_media_run","incoming_harvest_to_seed_days","harvest_observation_count","episode_duration_days","episode_parent_count","episode_child_count","episode_is_branch_point","episode_is_multiparent","episode_qc_flags"
"C","MDAMB231_promoted_39_episodes_ignore_media",34,38,42,"MDA-MB-231_C_A32_seed","2025-07-07T12:10:36Z","2025-07-11T12:19:31Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.00172453703704,2,4.00619212962963,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",35,39,43,"MDA-MB-231_C_A33_seed","2025-07-14T12:22:17Z","2025-07-18T10:32:04Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",3.0019212962963,2,3.92346064814815,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",36,40,44,"MDA-MB-231_C_A34_seed","2025-07-18T15:34:45Z","2025-07-21T12:41:16Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",0.210196759259259,1,2.87952546296296,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",37,41,45,"MDA-MB-231_C_A35_seed","2025-07-23T12:43:57Z","2025-07-28T15:27:24Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",2.00186342592593,2,5.11350694444444,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",38,42,46,"MDA-MB-231_C_A36_seed","2025-07-30T12:55:02Z","2025-08-04T15:27:24Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.89418981481481,2,5.10581018518519,1,1,FALSE,FALSE,
"C","MDAMB231_promoted_39_episodes_ignore_media",39,43,47,"MDA-MB-231_C_A37_seed","2025-08-06T12:31:34Z","2025-08-08T15:27:24Z",82,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 11101500 nM + Phosphates 100%; O2 20.5%",FALSE,"media82_positions_2_39",1.87789351851852,1,2.12210648148148,1,0,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",1,7,11,"MDA-MB-231_G1_A1_seed","2025-02-12T12:52:17Z","2025-02-14T20:21:08Z",83,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 3e+06 nM; O2 20.5%",FALSE,"media_83_run_1",,1,2.31170138888889,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",2,8,12,"MDA-MB-231_G1_A2_seed","2025-02-18T16:55:53Z","2025-03-28T17:26:55Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",TRUE,"media_86_run_2",3.85746527777778,17,38.0215509259259,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",3,9,13,"MDA-MB-231_G1_A3_seed","2025-04-01T14:22:05Z","2025-04-09T15:30:00Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",3.87164351851852,4,8.04716435185185,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",4,10,14,"MDA-MB-231_G1_A4_seed","2025-04-11T21:15:43Z","2025-05-21T12:22:36Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",2.24008101851852,17,39.6297800925926,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",5,11,15,"MDA-MB-231_G1_A5_seed","2025-05-23T16:46:50Z","2025-06-02T19:00:51Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",2.18349537037037,4,10.0930671296296,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",6,12,16,"MDA-MB-231_G1_A6_seed","2025-06-06T13:42:49Z","2025-06-11T14:24:19Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",3.77914351851852,2,5.02881944444444,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",7,13,17,"MDA-MB-231_G1_A7_seed","2025-06-13T13:54:38Z","2025-06-18T18:07:16Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",1.97938657407407,2,5.17543981481481,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",8,14,18,"MDA-MB-231_G1_A8_seed","2025-06-20T09:52:10Z","2025-06-25T10:33:49Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",1.65618055555556,2,5.02892361111111,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",9,15,19,"MDA-MB-231_G1_A9_seed","2025-06-27T16:50:37Z","2025-07-02T21:16:32Z",86,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 1500000 nM; O2 20.5%",FALSE,"media_86_run_2",2.26166666666667,2,5.18466435185185,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",10,16,20,"MDA-MB-231_G1_A10_seed","2025-07-05T21:26:45Z","2025-07-16T23:13:18Z",88,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 750000 nM; O2 20.5%",TRUE,"media_88_run_3",3.00709490740741,5,11.0739930555556,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",11,17,21,"MDA-MB-231_G1_A11_seed","2025-07-18T23:27:14Z","2025-08-01T16:05:08Z",88,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 750000 nM; O2 20.5%",FALSE,"media_88_run_3",2.00967592592593,6,13.6929861111111,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",12,18,22,"MDA-MB-231_G1_A12_seed","2025-08-06T14:50:24Z","2025-08-13T16:26:20Z",88,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 750000 nM; O2 20.5%",FALSE,"media_88_run_3",4.94810185185185,3,7.06662037037037,1,1,FALSE,FALSE,
"G1","MDAMB231_G1_full_13_episodes_ignore_media",13,19,23,"MDA-MB-231_G1_A13_seed","2025-08-16T17:23:26Z","2025-08-25T19:45:42Z",88,"RPMI-1640 (modified) 90%; dFBS 10%; Glucose 750000 nM; O2 20.5%",FALSE,"media_88_run_3",3.03965277777778,4,9.0987962962963,1,0,FALSE,FALSE,
